name_user;rol;mail;pwd;
CRISTIAN FABIAN CELIS CABANERIO;Customer;cf.celis@mail.com;Ñ053';
CAMILO ANDRES QUINTERO LOPEZ;Customer;ca.quintero@gmail.com;e458,;
WILSON STIVEN PARRADO GUZMAN;Customer;wi.parrado@gmail.com;s874,;
CRISTIAN FELIPE ABELLO GAMBA;Store Administrator;cr.abello@gmail.com;n430,;
JHON ALEXANDER BARRETO DELGADO;Store Administrator;jh.barreto@gmail.com;H432);
HUGO ALEJANDRO MONDRAGON VALENCIA;Customer;hu.mondragon@gmail.com;"q344""";
BRAYAN STIVEN BARRAGAN SANCHEZ;Customer;br.barragan@gmail.com;{148!;
DAVID FELIPE BERNAL CABRERA;Customer;da.bernal@gmail.com;O306!;
NICOLAS ADOLFO CARDENAS PATINO;Customer;ni.cardenas@gmail.com;x710);
JULIAN LEONARDO MORENO LESMES;Customer;ju.moreno@gmail.com;"A387""";
MARLON RAMOS MURCIA;Customer;ma.ramos@gmail.com;l447(;
KEVIN ANDRES CASTRILLON ORTEGA;Store Administrator;ke.castrillon@gmail.com;c304-;
DAJHAM ANDRES BUITRAGO GONZALEZ;Store Administrator;da.buitrago@gmail.com;x673);
BRAYAN CAMILO CASTANEDA CALDERON;Customer;br.castaneda@gmail.com;{247(;
JAVIER ANDRES CHARRY CORONADO;Customer;ja.charry@gmail.com;W787.;
YESICA ALEJANDRA COLMENARES GARZON;Customer;ye.colmenares@gmail.com;c220-;
NASSLY MERARY GODOY VELASQUEZ;Customer;na.godoy@gmail.com;^150(;
JESSICA GOMEZ MANRIQUE;Customer;je.gomez@gmail.com;S243#;
EDWIN DAMIAN GUINA ESCOBAR;Customer;ed.guina@gmail.com;\443(;
HENRY DAVID MARTINEZ VILLARRAGA;Customer;he.martinez@gmail.com;Ç128(;
JOHAN MOLINA PINEROS;Customer;jo.molina@gmail.com;V024.;
JOHAN SEBASTIAN MOLINA PIÒEROS;Customer;jo.molina@gmail.com;â077$;
MARTIN SEBASTIAN PEREZ RICO;Customer;ma.perez@gmail.com;É633.;
CRISTIAN SAID QUINTERO PRADA;Customer;cr.quintero@gmail.com;"m755""";
MILTON STIVEN REY FERNANDEZ;Customer;mi.rey@gmail.com;e471';
FERNEY RAMOS ROJAS;Customer;fe.ramos@gmail.com;g563%;
LUIS ALFONSO MEDINA ROMERO;Customer;ca.quintero@gmail.com;E584$;
JUAN ESTEBAN ARANGO QUIJANO;Customer;wi.parrado@gmail.com;q505$;
SEBASTIAN AUGUSTO BAEZ RAMOS;Customer;cr.abello@gmail.com;Y545%;
DIEGO ANDRES CABRERA ROJAS;Customer;jh.barreto@gmail.com;V678.;
YEINER FABIAN CASTRO BERNAL;Customer;hu.mondragon@gmail.com;m464-;
YEFERSON YUBERLEY GUERRERO CASTRO;Customer;br.barragan@gmail.com;]182,;
DEIVID HERNANDEZ ORTIZ;Customer;da.bernal@gmail.com;y754&;
JUAN PABLO LOPEZ CUELLAR;Customer;ni.cardenas@gmail.com;|007.;
GABRIEL ELKIN MARTINEZ AMORTEGUI;Customer;ju.moreno@gmail.com;T724!;
HERMES DUVAN MARTINEZ ZAMBRANO;Customer;ma.ramos@gmail.com;D735*;
CAMILO ANDRES PARRADO MORA;Customer;ke.castrillon@gmail.com;J801+;
HERNAN DAVID QUIJANO GONZALEZ;Customer;da.buitrago@gmail.com;G820.;
ROGER RICARDO ROLDAN BONILLA;Customer;br.castaneda@gmail.com;J137+;
CRISTIAN ANDRES VERA FINO;Customer;ja.charry@gmail.com;}481.;
CARLOS CADENA BAQUERO;Customer;ye.colmenares@gmail.com;~724';
SANTIAGO MARTINEZ DIAZ;Customer;na.godoy@gmail.com;K012-;
LEINER LIBARDO MENDOZA RODRIGUEZ;Customer;je.gomez@gmail.com;D448#;
JHOSTYN ANDRES RIVERA MOSCOSO;Customer;ed.guina@gmail.com;{586!;
LUIS MARLON CASALLAS JAIMES;Customer;he.martinez@gmail.com;â205';
JUAN CAMILO BUITRAGO HENAO;Customer;jo.molina@gmail.com;"o686""";
ANDRES FELIPE FUENTES REYES;Customer;jo.molina@gmail.com;a117%;
TIAN DAVID CASTRO PARRA;Customer;ma.perez@gmail.com;Ö550);
MAYKOLL ALEXIS GOMEZ FERNANDEZ;Customer;cr.quintero@gmail.com;G635-;
CRISTIAN SANTIAGO AHUMADA CASTELLANOS;Customer;mi.rey@gmail.com;\343';
MARTIN LEONARDO AVILA DIMATE;Store Administrator;fe.ramos@gmail.com;A488&;
JOHAN ESNEYDER CAICEDO GARCIA;Customer;ca.quintero@gmail.com;`031);
WILLIAMS ALEXANDER CASALLAS GAONA;Customer;wi.parrado@gmail.com;F872%;
CESAR DAVID FERNANDEZ MARTINEZ;Customer;cr.abello@gmail.com;"R018""";
JAMES SEBASTIAN FRANCO VELANDIA;Customer;jh.barreto@gmail.com;à313,;
BRAYAN JULIAN MARTINEZ ARIZA;Customer;hu.mondragon@gmail.com;r763#;
MIGUEL ANGEL PEREZ PALACIOS ;Customer;br.barragan@gmail.com;G201-;
JONATHAN CAMILO RIOS SILVA;Customer;da.bernal@gmail.com;[660&;
MARIANA VALENCIA MORENO;Customer;ni.cardenas@gmail.com;Ç160!;
YARLINSON TIBERIO BARRANCO BASTILLA;Customer;ju.moreno@gmail.com;H400+;
JHORMAN ALEXANDER CARRILLO PEREZ;Customer;ma.ramos@gmail.com;c017);
JIMMY SEBASTIAN CLAVIJO CARRILLO;Customer;ke.castrillon@gmail.com;h155(;
JULIAN CAMILO DIEZ BAQUERO;Customer;da.buitrago@gmail.com;C405*;
BRIAN RAFAEL DURAN SAAVEDRA;Customer;br.castaneda@gmail.com;w584#;
JHONATAN ALBERTO FERRER CORREA;Customer;ja.charry@gmail.com;F430$;
CRISTIAN FABIAN INFANTE CANELO;Customer;ye.colmenares@gmail.com;"Ö323""";
ANGGY MICHELLE MARIN ALFONSO;Customer;na.godoy@gmail.com;h724*;
EMMANUEL MARTINEZ SIERRA;Customer;je.gomez@gmail.com;^384-;
IVAN ANDRES MONTOYA SASTOQUE;Customer;ed.guina@gmail.com;"u802""";
SEBASTIAN OBANDO ROJAS;Customer;he.martinez@gmail.com;z377.;
JEINNER JULIAN PELAEZ ARBOLEDA;Customer;jo.molina@gmail.com;"b660""";
LUIS GUILLERMO PEREZ CALLE;Customer;jo.molina@gmail.com;W650,;
JOSEHP CAMILO RAMOS NOVOA;Customer;ma.perez@gmail.com;b263.;
SEBASTIAN EISNEIDER REY PRETEL;Customer;cr.quintero@gmail.com;o364%;
